ID,Phrases
1,"""Sending you positive vibes and best wishes for every step of your way."""
2,"""Luck is on your side as you chase your dreams and conquer your goals."""
3,"""You've got this! May luck be your constant companion."""
4,"""May your path be smooth, your challenges be conquerable, and your luck be ever-present."""
5,"""With determination and a little luck, you're destined for greatness."""
6,"""Good luck isn't just a coincidence; it's a reflection of your hard work and preparation."""
7,"""May your efforts yield fruitful results and your journey be filled with good luck and good times."""
8,"""As you set out on this adventure, remember that luck favors the bold."""
9,May all the scenarios in my head not happen. - 0
10,"""May your efforts be rewarded with good luck that knows no bounds."""
11,"Mananatiling nakakulong sa nakaraan
Umaasang ika'y babalik sa'kin
Sa oras na matapos ang iyong laban
At hindi maligaw sa daanan

- 0"
